(xi, yi), Qi, Ci
(134.17207146827826, 81.70273544402029), 3.7395281132718314, 97.57216203307547
(156.94411505972838,                499.80077453500405), 1.8986867051036131,                  55.04999007687877
(538.8908935586879, 437.63105734087304), 3.8891660979983724, 86.35592035849196
(117.90126529637857, 667.7189967608067), 2.706671825003856, 52.2211373115571
(797.5516145150782, 17.384180536215933), 2.8378435966030855, 11.594973888902903
(474.44665102566654, 919.4173015686291), 1.207364665389488, 21.448289233877468
(11.437454254073053, 144.47725088247387), 3.034487656708353, 82.14273998769892
(854.5744567213059, 938.4284033863906), 2.2326766186505043, 74.53965349653954
(836.0373860081411, 325.0718622823345), 2.9006249462905798, 71.13698476523207
(65.65883831848839, 774.5646906441563), 1.2194153520645559, 65.08944642724626
(811.5454147464302, 57.93886262998904), 0.5849404062606296, 30.908499670703176
(97.95485037332952, 76.65211735133192), 3.59739478869675, 83.35722233185552
(613.070471561239, 467.2171083208736), 0.8269635412837963, 54.857005857988256
(427.4394504561024, 351.5044862466478), 1.876491544019745, 34.30692513325626
(170.6342648756124, 568.7898507642204), 4.3560943329596675, 91.99033265637634
(281.54143422911295, 775.7549498839899), 0.8541056626801654, 91.5587487800422
(27.934162227202574, 55.05404157599958), 4.687613313798406, 65.3950546304672
(278.00219610310205, 305.7245602508415), 3.702647240525426, 22.51587685081177
(572.013761606915, 108.71557952482269), 1.1170957696246324, 64.80935847935481
(374.8647215959554, 261.2232343273138), 3.9241030645441337, 13.108937383081194
(351.8012329688133, 611.5003592849197), 2.345965607040509, 78.07773578435133
(514.6120956033143, 208.03180353410534), 3.569737671530333, 18.75470467704503
(625.2061395253245, 363.39177740441374), 4.6156334415423315, 74.14858659862315
(821.4417934423751, 687.4608645349306), 3.793296610432894, 13.002652634708458
(732.3299515005023, 911.6190506973859), 1.0110114844807683, 39.64082236404904
(373.46430899602245, 761.7159282766867), 3.1898709988943037, 60.837088043061904
(991.080663597357, 32.91710559943994), 2.8850759364641334, 50.37342386655087
(483.63266724494144, 725.545606041001), 2.241997541257338, 16.167954712920924
(190.57649583440661, 631.2758937217867), 4.145680746973271, 90.44662299641676
(858.2296918656027, 457.1538262111854), 4.844360425270149, 46.67165289428266
(567.5408833261134, 385.3396421764688), 3.831122886055555, 24.2351624595318
(443.9259111223014, 108.8400218705623), 2.706560220897353, 85.06464396914235
(629.7776466067983, 416.7751886804567), 3.288220529787006, 90.68817773798965
(82.69704249937348, 630.4838817949842), 4.84319184495199, 19.923043117695464
(32.373212335183645, 354.47172033720176), 3.093228892296655, 72.03705573275617
(925.7558418588836, 309.1589454491045), 3.694370958522201, 21.068502466605082
(493.14823211594995, 19.421526036897173), 3.874003128628386, 41.90624919168087
(905.3173482152018, 639.5947411330058), 2.8997143814819775, 99.77938531539289
(59.225839432104685, 749.0694075797596), 3.081748403129276, 98.86671302951528
(632.0848261825806, 245.58729983298954), 3.169694380766486, 79.74745022537697
(457.4132473016541, 14.64262272018968), 3.5210871089042395, 78.1869422505601
(299.5884051579355, 600.9135542014429), 2.7596851926553136, 34.65267711341653
(338.1036836666388, 786.7483343011194), 3.0792311844785933, 56.47079963022592
(627.4774754349598, 792.9503382360188), 4.536419820024392, 31.514513610116122
(897.8490983716404, 852.0458587471359), 1.9513705590641117, 49.05308668870204
(327.444693715783, 278.9326572812795), 1.217512985079246, 65.49117490213612
(389.75392258403593, 837.5486361622595), 4.48129641265173, 47.788188160025896
(972.5135503995864, 618.8367900731871), 4.85070820287445, 81.06005486450346
(749.4731045115107, 487.20742286878607), 3.075949396014649, 28.1283226933339
(281.0849575833745, 93.66824814235541), 1.8026024551417534, 74.31478681138132
(441.38137633414954, 221.3410231535128), 3.756934838385095, 11.88028881941634
(94.26668573565632, 466.7369184608955), 0.5804739880890116, 39.33024741452799
(397.4230623096661, 329.0686600564375), 1.2517022088742915, 72.64950147207021
(852.4996807354757, 518.2858183978589), 1.5020161993151193, 16.962127777064435
(581.788781969064, 482.01898199255044), 3.70332769356399, 55.20186231839102
(298.3066895682044, 937.029197515169), 1.1394552152142725, 50.72574483251056
(799.4805036526704, 542.246579440171), 2.0368479023685793, 89.45992970797488
(871.686692730311, 277.36762573590636), 1.1853709956380551, 63.99363188130876
(668.2484773705661, 355.8031545021615), 1.659465418084933, 81.58677344418057
(37.07715893305252, 970.7535914692684), 1.0795147954275461, 70.32160729044838
(130.71682721949185, 465.19104920861633), 0.6934150534047677, 37.15701379275877
(648.3087372124642, 536.6755949159176), 1.9367901592124706, 23.70579472720458
(259.54107994872845, 793.234272042929), 0.810879868387357, 14.43536695649309
(977.9331055338663, 538.6840727043514), 0.5897572452877038, 64.62366048835668
(928.7399753439174, 157.2366326398702), 2.000729174696218, 90.44967281459347
(798.7850053060954, 619.4304003343326), 1.9420431657331518, 43.0126922981272
(889.922369467269, 914.2438396547307), 3.429838262721957, 86.8550286529397
(626.3261911095065, 904.8836706796541), 4.365700312722087, 44.148648144992215
(921.0494747468905, 589.2733388405156), 1.1104835584511923, 22.341270646198367
(304.14715529829914, 673.4297424138583), 4.150952450175131, 73.13455934503679
(975.10054224034, 69.05259029173361), 2.704910489614191, 14.221001725855125
(308.6945219247322, 414.7342095551906), 4.965166140221808, 62.32270666103765
(930.6808222440724, 885.762983750188), 1.8900712294275037, 32.81354498725444
(263.6645938992323, 883.4652728973275), 2.188870022728723, 52.97673715659711
(38.48914862276609, 725.6304897601239), 4.200657362579855, 62.78429161287267
(78.77859483669647, 678.7732484007884), 4.89029927624762, 73.82898189451106
(692.6276244676461, 552.1531593086379), 4.4371044382035745, 15.596800480822367
(969.4024207491583, 492.8037173405905), 4.269834263748564, 88.69751677789047
(678.9884482677654, 371.8655813507761), 3.392052391401826, 83.63057621346513
(179.96350860258792, 534.3774803928901), 3.8663654486288346, 57.415407593723074
(156.87964450488266, 987.7581217230991), 0.7885371198292919, 85.70866055882094
(883.0254983374391, 162.60570800428943), 2.2878313700573676, 42.74471186356572
(0.19796046132292133, 357.20501147091755), 4.801400960833837, 54.429886586359146
(753.8192325910862, 852.5632640237357), 1.2557837917455497, 87.08034714594062
(719.8354941778988, 110.49416218424312), 2.0839098079284333, 45.80769140621534
(887.4008468024304, 332.24442747031355), 2.3530083869105693, 52.44002448668347
(309.4037113156692, 941.6294191270639), 4.75132686921317, 13.864438257157468
(776.2389253658865, 793.2763630299486), 2.7372138307162532, 32.96211582356591
(93.62959810559879, 216.2970264240095), 0.9746720794581933, 35.773961135328264
(282.24119438848885, 779.115256536199), 2.549208844072241, 29.039114590718423
(502.2125529711774, 62.277011424428096), 1.9136208815375269, 44.971903737040435
(392.9077267842468, 693.4606598134654), 4.181111219769443, 78.91046374622886
(188.68930916785132, 521.9600541287646), 4.317009459579574, 11.891717001491777
(741.8899524433181, 597.0238814650716), 1.4444688074529868, 13.761970615706757
(61.907038810549594, 637.4192132077523), 3.25655566801202, 29.150028349220566
(350.0051451371412, 792.9072468501255), 1.3493471637536834, 92.39966860092048
(804.4572552372289, 729.0611332223455), 3.866053697352208, 35.70355055860086
(830.4733944258635, 16.854934039833847), 0.5687787428606508, 25.0903703327915
(310.54757134455946, 380.46730315316535), 0.9074585367331158, 81.50080063705458
(147.10133507276424, 703.1753808409701), 3.7282904406926125, 68.5475209453356
(984.4380437794832, 407.83607135589074), 4.69975006205725, 28.71391035930703
(929.93939491043, 8.399089130178172), 4.268517199188862, 36.11955416426777
(403.2528826605859, 150.16252185044888), 4.582213006916836, 38.91994169698812
(287.5367812510731, 776.5723177520235), 2.2092358856340537, 25.2900315977921
(633.2989548896106, 981.3381453745351), 3.1830936166839927, 11.968746804573945
(961.8428660069795, 255.15431109742025), 4.527888074723267, 26.61998444492495
(225.60777424980648, 818.7588047425929), 3.8024479767850075, 54.035468491879534
(261.9209864419114, 251.62404786619953), 2.8772565774633914, 72.88858300988431
(563.2905135803488, 164.5803282466104), 2.0518669893766366, 82.27973455505338
(375.53540719373325, 278.9287137054732), 3.030464968508564, 85.90466923978397
(123.34777057462254, 859.4033299697486), 2.8542982412632423, 67.44107455360243
(583.8251982654926, 132.2273111276475), 3.955328181654594, 13.629909099275583
(921.6443392990037, 450.8143713262019), 2.995684027309029, 82.79075296346255
(409.83939955791993, 299.7693568318726), 1.7210356447755841, 28.821560529889513
(64.55208351526987, 253.30958709464701), 1.7350973465159019, 76.31412945129732
(542.2864374592514, 107.1237442470343), 3.7467359339970585, 40.13447263519043
